,SYMBOL,COMPANY,REGULATION,NAME OF THE ACQUIRER/DISPOSER,CATEGORY OF PERSON,TYPE OF SECURITY (PRIOR),NO. OF SECURITY (PRIOR),% SHAREHOLDING (PRIOR),TYPE OF SECURITY (ACQUIRED/DISPLOSED),NO. OF SECURITIES (ACQUIRED/DISPLOSED),VALUE OF SECURITY (ACQUIRED/DISPLOSED),ACQUISITION/DISPOSAL TRANSACTION TYPE,TYPE OF SECURITY (POST),NO. OF SECURITY (POST),% POST,DATE OF ALLOTMENT/ACQUISITION FROM,DATE OF ALLOTMENT/ACQUISITION TO,DATE OF INITMATION TO COMPANY,MODE OF ACQUISITION,DERIVATIVE TYPE SECURITY,DERIVATIVE CONTRACT SPECIFICATION,NOTIONAL VALUE(BUY),NUMBER OF UNITS/CONTRACT LOT SIZE (BUY),NOTIONAL VALUE(SELL),NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL),EXCHANGE,REMARK,BROADCASTE DATE AND TIME,XBRL
7382,LALPATHLAB,Dr. Lal Path Labs Ltd.,7(2),Dr. Lal PathLabs Employees Welfare Trust,Other,Equity Shares,826123,1.0,,7135,71350,Sell,Equity Shares,818988,0.98,31-Aug-2020,02-Sep-2020,02-Sep-2020,ESOP,-,-,0,0,0,0,,-,02-Sep-2020 18:31,https://archives.nseindia.com/corporate/xbrl/IT_1078165_313150_02092020063118_WEB.xml
7383,JAGRAN,Jagran Prakashan Limited,7(2),SAMEER GUPTA,Promoter Group,Equity Shares,109856,0.04,,50000,1979104,Buy,Equity Shares,159856,0.06,31-Aug-2020,31-Aug-2020,02-Sep-2020,Market Purchase,-,-,0,0,0,0,NSE,-,02-Sep-2020 18:29,https://archives.nseindia.com/corporate/xbrl/IT_1078164_313144_02092020062932_WEB.xml
7384,JAGRAN,Jagran Prakashan Limited,7(2),SUNIL GUPTA,Director,Equity Shares,50000,0.02,,50000,1980188,Buy,Equity Shares,100000,0.04,31-Aug-2020,31-Aug-2020,02-Sep-2020,Market Purchase,-,-,0,0,0,0,NSE,-,02-Sep-2020 18:29,https://archives.nseindia.com/corporate/xbrl/IT_1078164_313144_02092020062932_WEB.xml
7385,EMAMILTD,Emami Limited,7(2),RAVIRAJ VINIYOG PRIVATE LIMITED,Promoter Group,Equity Shares,21456984,4.82,,3450000,1244070000,Pledge Revoke,Equity Shares,21456984,4.83,01-Sep-2020,01-Sep-2020,02-Sep-2020,Revokation of Pledge,-,-,0,0,0,0,,-,02-Sep-2020 18:17,https://archives.nseindia.com/corporate/xbrl/IT_1078163_313138_02092020061755_WEB.xml
7386,EMAMILTD,Emami Limited,7(2),PRITI A SUREKA,Director,Equity Shares,11609702,2.61,,1500000,530700000,Pledge Revoke,Equity Shares,11609702,2.61,29-Aug-2020,29-Aug-2020,01-Sep-2020,Revokation of Pledge,-,-,0,0,0,0,,-,02-Sep-2020 18:17,https://archives.nseindia.com/corporate/xbrl/IT_1078163_313138_02092020061755_WEB.xml
7387,EMAMILTD,Emami Limited,7(2),DIWAKAR VINIYOG PRIVATE LIMITED,Promoter Group,Equity Shares,49533849,11.14,,455600,164289360,Pledge Revoke,Equity Shares,49533849,11.14,01-Sep-2020,01-Sep-2020,02-Sep-2020,Revokation of Pledge,-,-,0,0,0,0,,-,02-Sep-2020 18:17,https://archives.nseindia.com/corporate/xbrl/IT_1078163_313138_02092020061755_WEB.xml
7388,EMAMILTD,Emami Limited,7(2),DIWAKAR VINIYOG PRIVATE LIMITED,Promoter Group,Equity Shares,49533849,11.14,,1240000,438712000,Pledge Revoke,Equity Shares,49533849,11.14,29-Aug-2020,29-Aug-2020,01-Sep-2020,Revokation of Pledge,-,-,0,0,0,0,,-,02-Sep-2020 18:17,https://archives.nseindia.com/corporate/xbrl/IT_1078163_313138_02092020061755_WEB.xml
7389,EMAMILTD,Emami Limited,7(2),BHANU VYAPAAR PRIVATE LIMITED,Promoter Group,Equity Shares,43765902,9.84,,44400,16010640,Pledge Revoke,Equity Shares,43765902,9.85,01-Sep-2020,01-Sep-2020,02-Sep-2020,Revokation of Pledge,-,-,0,0,0,0,,-,02-Sep-2020 18:17,https://archives.nseindia.com/corporate/xbrl/IT_1078163_313138_02092020061755_WEB.xml
7390,CALSOFT,California Software Company Limited,7(2),VASUDEVAN MAHALINGAM,Promoters,Equity Shares,5232972,33.86,,100000,1500000,Sell,Equity Shares,5132972,33.21,31-Aug-2020,31-Aug-2020,01-Sep-2020,Off Market,-,-,0,0,0,0,,-,02-Sep-2020 18:15,https://archives.nseindia.com/corporate/xbrl/IT_1078162_313132_02092020061528_WEB.xml
7391,MPHASIS,MphasiS Limited,7(2),Rajat Gupta,Employees/Designated Employees,Equity Shares,Nil,0.0,,2120,1060000,Buy,Equity Shares,2120,0.0,17-Aug-2020,27-Aug-2020,02-Sep-2020,ESOP,-,-,0,0,0,0,,-,02-Sep-2020 18:14,https://archives.nseindia.com/corporate/xbrl/IT_1078161_313130_02092020061403_WEB.xml
7392,PRECOT,Precot Meridian Limited,7(2),PRASHANTH CHANDRAN,Promoters,Equity Shares,1972411,16.44,,5511,152778,Buy,Equity Shares,1977922,16.48,01-Sep-2020,01-Sep-2020,02-Sep-2020,Market Purchase,-,-,0,0,0,0,NSE,-,02-Sep-2020 18:10,https://archives.nseindia.com/corporate/xbrl/IT_1078157_313126_02092020061050_WEB.xml
7393,DIAMONDYD,Prataap Snacks Limited,7(2),Sumit Sharma,Key Managerial Personnel,Equity Shares,89985,0.38,,300,181230,Buy,Equity Shares,90285,0.38,31-Aug-2020,01-Sep-2020,02-Sep-2020,Market Purchase,-,-,0,0,0,0,NSE,-,02-Sep-2020 18:06,https://archives.nseindia.com/corporate/xbrl/IT_1078155_313123_02092020060642_WEB.xml
7394,DIAMONDYD,Prataap Snacks Limited,7(2),Sumit Sharma,Key Managerial Personnel,Equity Shares,90285,0.38,,979,611474,Buy,Equity Shares,91264,0.39,31-Aug-2020,01-Sep-2020,02-Sep-2020,Market Purchase,-,-,0,0,0,0,BSE,-,02-Sep-2020 18:06,https://archives.nseindia.com/corporate/xbrl/IT_1078155_313123_02092020060642_WEB.xml
7395,DIAMONDYD,Prataap Snacks Limited,7(2),Roshni Sharma,Immediate relative,Equity Shares,2744,0.01,,666,399771,Buy,Equity Shares,3410,0.01,31-Aug-2020,01-Sep-2020,02-Sep-2020,Market Purchase,-,-,0,0,0,0,NSE,-,02-Sep-2020 18:06,https://archives.nseindia.com/corporate/xbrl/IT_1078155_313123_02092020060642_WEB.xml
7396,NCLIND,NCL Industries Limited,7(2),Bhupatiraju Subba Raju,Promoter Group,Equity Shares,133011,0.29,,1000,96000,Buy,Equity Shares,134011,0.3,01-Sep-2020,01-Sep-2020,01-Sep-2020,Market Purchase,-,-,0,0,0,0,NSE,-,02-Sep-2020 18:04,https://archives.nseindia.com/corporate/xbrl/IT_1078153_313117_02092020060401_WEB.xml
7397,MRF,MRF Limited,7(2),S DHANVANTH KUMAR,Employees/Designated Employees,Equity Shares,Nil,0.0,,1,59999,Buy,Equity Shares,1,0.0,31-Aug-2020,31-Aug-2020,01-Sep-2020,Market Purchase,-,-,0,0,0,0,NSE,-,02-Sep-2020 17:46,https://archives.nseindia.com/corporate/xbrl/IT_1078151_313092_02092020054620_WEB.xml
7398,GANECOS,Ganesha Ecosphere Limited,7(2),HEMANT SHARMA,Promoter Group,Equity Shares,22124,0.1,,13000,3894134,Buy,Equity Shares,35124,0.16,27-Aug-2020,28-Aug-2020,31-Aug-2020,Market Purchase,-,-,0,0,0,0,NSE,-,02-Sep-2020 17:45,https://archives.nseindia.com/corporate/xbrl/IT_1078150_313090_02092020054551_WEB.xml
7399,GANECOS,Ganesha Ecosphere Limited,7(2),HARSH SHARMA,Promoter Group,Equity Shares,Nil,0.0,,23000,6816797,Buy,Equity Shares,23000,0.1,27-Aug-2020,28-Aug-2020,31-Aug-2020,Market Purchase,-,-,0,0,0,0,NSE,-,02-Sep-2020 17:45,https://archives.nseindia.com/corporate/xbrl/IT_1078150_313090_02092020054551_WEB.xml
7400,TCNSBRANDS,TCNS Clothing Co. Limited,7(2),PALLAVI VATSA,Employees/Designated Employees,Equity Shares,108000,0.18,,3394,1482416,Sell,Equity Shares,104606,0.17,25-Aug-2020,01-Sep-2020,01-Sep-2020,Market Sale,-,-,0,0,0,0,NSE,-,02-Sep-2020 17:45,https://archives.nseindia.com/corporate/xbrl/IT_1078149_313088_02092020054542_WEB.xml
7401,TCNSBRANDS,TCNS Clothing Co. Limited,7(2),DHARMENDER KUMAR,Employees/Designated Employees,Equity Shares,128688,0.2,,1703,739622,Sell,Equity Shares,126985,0.2,01-Sep-2020,01-Sep-2020,02-Sep-2020,Market Sale,-,-,0,0,0,0,NSE,-,02-Sep-2020 17:45,https://archives.nseindia.com/corporate/xbrl/IT_1078149_313088_02092020054542_WEB.xml
7402,MAXIND,Max India Limited,7(2),MAX VENTURES INVESTMENT HOLDINGS PRIVATE LIMITED,Promoters,Equity Shares,20733590,38.55,,9125055,658828971,Pledge Revoke,Equity Shares,20733590,38.55,31-Aug-2020,31-Aug-2020,02-Sep-2020,Revokation of Pledge,-,-,0,0,0,0,,-,02-Sep-2020 17:40,https://archives.nseindia.com/corporate/xbrl/IT_1078145_313080_02092020054041_WEB.xml
7403,CRISIL,CRISIL Limited,7(2),Magesh Babu,Employees/Designated Employees,Equity Shares,1205,0.0,,1205,2175718,Sell,Equity Shares,Nil,0.0,24-Jul-2020,31-Aug-2020,01-Sep-2020,Market Sale,-,-,0,0,0,0,NSE,-,02-Sep-2020 17:07,https://archives.nseindia.com/corporate/xbrl/IT_1078141_313064_02092020050754_WEB.xml
7404,CRISIL,CRISIL Limited,7(2),Magesh Babu,Employees/Designated Employees,Equity Shares,1090,0.0,,115,139955,Buy,Equity Shares,1205,0.0,21-Jul-2020,21-Jul-2020,01-Sep-2020,ESOP,-,-,0,0,0,0,,-,02-Sep-2020 17:07,https://archives.nseindia.com/corporate/xbrl/IT_1078141_313064_02092020050754_WEB.xml
7405,CRISIL,CRISIL Limited,7(2),Rajendra Lodd,Employees/Designated Employees,Equity Shares,48152,0.0,,603,1126645,Sell,Equity Shares,47549,0.0,28-Aug-2020,31-Aug-2020,31-Aug-2020,Market Sale,-,-,0,0,0,0,NSE,-,02-Sep-2020 17:07,https://archives.nseindia.com/corporate/xbrl/IT_1078141_313064_02092020050754_WEB.xml
7406,GRANULES,Granules India Limited,7(2),Krishna Prasad Chigurupati,Promoters,Equity Shares,86287472,34.89,,5375000,1686406250,Pledge Revoke,Equity Shares,86287472,34.89,31-Aug-2020,31-Aug-2020,02-Sep-2020,Revokation of Pledge,-,-,0,0,0,0,,-,02-Sep-2020 17:00,https://archives.nseindia.com/corporate/xbrl/IT_1078139_313061_02092020050023_WEB.xml
7407,GRANULES,Granules India Limited,7(2),Krishna Prasad Chigurupati,Promoters,Equity Shares,86287472,34.89,,1775000,575188750,Pledge Revoke,Equity Shares,86287472,34.89,01-Sep-2020,01-Sep-2020,02-Sep-2020,Revokation of Pledge,-,-,0,0,0,0,,-,02-Sep-2020 17:00,https://archives.nseindia.com/corporate/xbrl/IT_1078139_313061_02092020050023_WEB.xml
7408,GRANULES,Granules India Limited,7(2),Krishna Prasad Chigurupati,Promoters,Equity Shares,86287472,34.89,,3600000,1166580000,Pledge Revoke,Equity Shares,86287472,34.89,01-Sep-2020,01-Sep-2020,02-Sep-2020,Revokation of Pledge,-,-,0,0,0,0,,-,02-Sep-2020 17:00,https://archives.nseindia.com/corporate/xbrl/IT_1078139_313061_02092020050023_WEB.xml
7409,GRANULES,Granules India Limited,7(2),Krishna Prasad Chigurupati,Promoters,Equity Shares,86287472,34.89,,7200000,2259000000,Pledge Revoke,Equity Shares,86287472,34.89,31-Aug-2020,31-Aug-2020,02-Sep-2020,Revokation of Pledge,-,-,0,0,0,0,,-,02-Sep-2020 17:00,https://archives.nseindia.com/corporate/xbrl/IT_1078139_313061_02092020050023_WEB.xml
7410,KOTAKBANK,Kotak Mahindra Bank Limited,7(2),MURALI KRISHNA NANDURI,Employees/Designated Employees,Equity Shares,5152,0.0,,1000,1425659,Sell,Equity Shares,4152,0.0,26-Aug-2020,28-Aug-2020,02-Sep-2020,Market Sale,-,-,0,0,0,0,NSE,-,02-Sep-2020 16:58,https://archives.nseindia.com/corporate/xbrl/IT_1078137_313058_02092020045853_WEB.xml
7411,ARIHANTSUP,Arihant Superstructures Limited,7(2),Komal Nimish Shah,Immediate relative,Equity Shares,105277,0.25,,4950,119473,Buy,Equity Shares,110227,0.26,26-Aug-2020,01-Sep-2020,01-Sep-2020,Market Purchase,-,-,0,0,0,0,NSE,-,02-Sep-2020 16:56,https://archives.nseindia.com/corporate/xbrl/IT_1078135_313055_02092020045633_WEB.xml
7412,GRAVITA,Gravita India Limited,7(2),Gravita Employee Welfare Trust,Employees/Designated Employees,Equity Shares,811500,1.18,,40000,2010548,Buy,Equity Shares,851500,1.23,31-Aug-2020,01-Sep-2020,01-Sep-2020,Market Purchase,-,-,0,0,0,0,NSE,-,02-Sep-2020 16:46,https://archives.nseindia.com/corporate/xbrl/IT_1078132_313045_02092020044603_WEB.xml
7413,APLLTD,Alembic Pharmaceuticals Limited,7(2),UDAY EDUCATION SOCIETY,Promoter Group,Equity Shares,993050,0.51,,39025,36944448,Sell,Equity Shares,954025,0.49,31-Aug-2020,31-Aug-2020,01-Sep-2020,Market Sale,-,-,0,0,0,0,NSE,-,02-Sep-2020 16:17,https://archives.nseindia.com/corporate/xbrl/IT_1078130_313033_02092020041714_WEB.xml
7414,JSWENERGY,JSW Energy Limited,7(2),JSW Investments Private Limited,Promoter Group,Equity Shares,332492694,20.24,,1260000,70371000,Pledge Revoke,Equity Shares,332492694,20.24,28-Aug-2020,28-Aug-2020,31-Aug-2020,Revokation of Pledge,-,-,0,0,0,0,,-,02-Sep-2020 16:14,https://archives.nseindia.com/corporate/xbrl/IT_1078128_313027_02092020041414_WEB.xml
7415,JSWENERGY,JSW Energy Limited,7(2),Danta Enterprises Private Limited,Promoter Group,Equity Shares,85599613,5.21,,4600000,251620000,Pledge Revoke,Equity Shares,85599613,5.21,31-Aug-2020,31-Aug-2020,01-Sep-2020,Revokation of Pledge,-,-,0,0,0,0,,-,02-Sep-2020 16:14,https://archives.nseindia.com/corporate/xbrl/IT_1078128_313027_02092020041414_WEB.xml
7416,GEEKAYWIRE,Geekay Wires Limited,7(2),Ghanshyam Dass HUF,Immediate relative,Equity Shares,649500,6.21,,10247,102470,Buy,Equity Shares,659747,6.31,31-Aug-2020,01-Sep-2020,01-Sep-2020,Market Purchase,-,-,0,0,0,0,NSE,-,02-Sep-2020 16:09,https://archives.nseindia.com/corporate/xbrl/IT_1078127_313013_02092020040939_WEB.xml
7417,COSMOFILMS,Cosmo Films Limited,7(2),Rajesh Kumar Gupta,Employees/Designated Employees,Equity Shares,6600,0.03,,6500,2512911,Sell,Equity Shares,100,0.0,31-Aug-2020,31-Aug-2020,02-Sep-2020,ESOP,-,-,0,0,0,0,,-,02-Sep-2020 16:08,https://archives.nseindia.com/corporate/xbrl/IT_1078126_313010_02092020040856_WEB.xml
7418,VESUVIUS,Vesuvius India Limited,7(2),Anirudha Gupta,Immediate relative,Preference Shares,3375,0.02,,1660,1604935,Buy,Preference Shares,5035,0.02,31-Aug-2020,31-Aug-2020,31-Aug-2020,Public Right,-,-,0,0,0,0,NSE,-,02-Sep-2020 16:02,https://archives.nseindia.com/corporate/xbrl/IT_1078123_313004_02092020040254_WEB.xml
7419,VESUVIUS,Vesuvius India Limited,7(2),Anirudha Gupta,Immediate relative,Equity Shares,3206,0.02,,169,165910,Buy,Equity Shares,3375,0.02,28-Aug-2020,28-Aug-2020,31-Aug-2020,Market Purchase,-,-,0,0,0,0,NSE,-,02-Sep-2020 16:02,https://archives.nseindia.com/corporate/xbrl/IT_1078123_313004_02092020040254_WEB.xml
7420,MINDTREE,MindTree Limited,7(2),Akila Krishnakumar,Promoter Group,Equity Shares,454718,0.28,,18594,22476799,Sell,Equity Shares,436124,0.26,31-Aug-2020,31-Aug-2020,01-Sep-2020,Market Sale,-,-,0,0,0,0,NSE,-,02-Sep-2020 16:00,https://archives.nseindia.com/corporate/xbrl/IT_1078122_313002_02092020040043_WEB.xml
7421,COSMOFILMS,Cosmo Films Limited,7(2),COSMO FILMS ESOP 2015 TRUST,Other,Equity Shares,491982,2.53,,6500,2512911,Sell,Equity Shares,485482,2.5,31-Aug-2020,31-Aug-2020,02-Sep-2020,Market Sale,-,-,0,0,0,0,NSE,-,02-Sep-2020 15:59,https://archives.nseindia.com/corporate/xbrl/IT_1078120_312999_02092020035920_WEB.xml
7422,PSPPROJECT,PSP Projects Limited,7(2),PRAHALADBHAI SHIVRAMBHAI PATEL,Promoters,Equity Shares,18490308,51.36,,2500,1063661,Buy,Equity Shares,18492808,51.37,31-Aug-2020,31-Aug-2020,02-Sep-2020,Market Purchase,-,-,0,0,0,0,BSE,-,02-Sep-2020 15:56,https://archives.nseindia.com/corporate/xbrl/IT_1078119_312994_02092020035643_WEB.xml
7423,PSPPROJECT,PSP Projects Limited,7(2),PRAHALADBHAI SHIVRAMBHAI PATEL,Promoters,Equity Shares,18482808,51.34,,7500,3154999,Buy,Equity Shares,18490308,51.36,31-Aug-2020,31-Aug-2020,02-Sep-2020,Market Purchase,-,-,0,0,0,0,NSE,-,02-Sep-2020 15:56,https://archives.nseindia.com/corporate/xbrl/IT_1078119_312994_02092020035643_WEB.xml
7424,GOCLCORP,GOCL Corporation Limited,7(2),HINDUJA POWER LIMITED (Mauritius),Promoters,Equity Shares,37146791,74.93,,400000,80776280,Sell,Equity Shares,36746791,74.13,31-Aug-2020,31-Aug-2020,02-Sep-2020,Market Sale,-,-,0,0,0,0,BSE,-,02-Sep-2020 15:53,https://archives.nseindia.com/corporate/xbrl/IT_1078118_312988_02092020035333_WEB.xml
7425,NBVENTURES,Nava Bharat Ventures Limited,7(2),A9 HOMES PRIVATE LIMITED,Promoter Group,Equity Shares,2514000,1.43,,60000,3843673,Buy,Equity Shares,2574000,1.46,31-Aug-2020,31-Aug-2020,01-Sep-2020,Market Purchase,-,-,0,0,0,0,NSE,-,02-Sep-2020 15:46,https://archives.nseindia.com/corporate/xbrl/IT_1078115_312982_02092020034639_WEB.xml
7426,AAVAS,Aavas Financiers Limited,7(2),PARTNERS GROUP PRIVATE EQUITY (MASTER FUND) LLC,Promoters,Equity Shares,5713047,7.29,,780319,1104123762,Sell,Equity Shares,4932728,6.3,31-Aug-2020,31-Aug-2020,02-Sep-2020,Market Sale,-,-,0,0,0,0,NSE,-,02-Sep-2020 15:44,https://archives.nseindia.com/corporate/xbrl/IT_1078113_312977_02092020034450_WEB.xml
7427,AAVAS,Aavas Financiers Limited,7(2),PARTNERS GROUP ESCL,Promoters,Equity Shares,13018256,16.62,,1778105,2507138007,Sell,Equity Shares,11240151,14.35,31-Aug-2020,31-Aug-2020,02-Sep-2020,Market Sale,-,-,0,0,0,0,NSE,-,02-Sep-2020 15:44,https://archives.nseindia.com/corporate/xbrl/IT_1078113_312977_02092020034450_WEB.xml
7428,BLBLIMITED,BLB Limited,7(2),Brij Rattan Bagri,Promoters,Equity Shares,32878129,62.19,,48334,284607,Buy,Equity Shares,32926463,62.28,01-Sep-2020,01-Sep-2020,02-Sep-2020,Market Purchase,-,-,0,0,0,0,NSE,-,02-Sep-2020 15:36,https://archives.nseindia.com/corporate/xbrl/IT_1078110_312970_02092020033624_WEB.xml
7429,MINDTREE,MindTree Limited,7(2),Siddarth Krishna Kumar,Promoter Group,Equity Shares,308581,0.19,,13500,16027056,Sell,Equity Shares,295081,0.18,28-Aug-2020,28-Aug-2020,01-Sep-2020,Market Sale,-,-,0,0,0,0,BSE,-,02-Sep-2020 15:19,https://archives.nseindia.com/corporate/xbrl/IT_1078106_312965_02092020031922_WEB.xml
7430,MINDTREE,MindTree Limited,7(2),Siddarth Krishna Kumar,Promoter Group,Equity Shares,326081,0.2,,17500,21057306,Sell,Equity Shares,308581,0.19,28-Aug-2020,31-Aug-2020,01-Sep-2020,Market Sale,-,-,0,0,0,0,NSE,-,02-Sep-2020 15:19,https://archives.nseindia.com/corporate/xbrl/IT_1078106_312965_02092020031922_WEB.xml
7431,ZENTEC,Zen Technologies Limited,7(2),Tara Dutt Atluri,Promoter Group,Equity Shares,2820756,3.66,,1801000,137717543,Sell,Equity Shares,1019756,1.32,01-Sep-2020,01-Sep-2020,02-Sep-2020,Market Sale,-,-,0,0,0,0,"BSE,NSE",-,02-Sep-2020 15:18,https://archives.nseindia.com/corporate/xbrl/IT_1078105_312963_02092020031826_WEB.xml
7432,JAMNAAUTO,Jamna Auto Industries Limited,7(2),Map Auto Limited,Promoters,Equity Shares,134445154,33.72,,250000,9937500,Pledge,Equity Shares,134445154,33.72,31-Aug-2020,31-Aug-2020,01-Sep-2020,Pledge Creation,-,-,0,0,0,0,,-,02-Sep-2020 15:08,https://archives.nseindia.com/corporate/xbrl/IT_1078103_312958_02092020030842_WEB.xml
7433,PDMJEPAPER,Pudumjee Paper Products Limited,7(2),AMJ Land Holdings Limited,Promoter Group,Equity Shares,766540,0.81,,57216,828045,Buy,Equity Shares,823756,0.87,31-Aug-2020,31-Aug-2020,02-Sep-2020,Market Purchase,-,-,0,0,0,0,"BSE,NSE",-,02-Sep-2020 15:08,https://archives.nseindia.com/corporate/xbrl/IT_1078102_312956_02092020030800_WEB.xml
7434,MRO-TEK,MRO-TEK Realty Limited,7(2),ANIRUDDHA BHANUPRASAD MEHTA,Promoters,Equity Shares,3028259,16.21,,988,25490,Buy,Equity Shares,3029247,16.21,01-Sep-2020,01-Sep-2020,01-Sep-2020,Market Purchase,-,-,0,0,0,0,NSE,-,02-Sep-2020 15:02,https://archives.nseindia.com/corporate/xbrl/IT_1078099_312952_02092020030224_WEB.xml
7435,JAMNAAUTO,Jamna Auto Industries Limited,7(2),Map Auto Limited,Promoters,Equity Shares,134220154,33.66,,225000,9363320,Buy,Equity Shares,134445154,33.72,31-Aug-2020,31-Aug-2020,01-Sep-2020,Market Purchase,-,-,0,0,0,0,NSE,-,02-Sep-2020 15:00,https://archives.nseindia.com/corporate/xbrl/IT_1078098_312948_02092020030041_WEB.xml
7436,DABUR,Dabur India Limited,7(2),PANKAJ YADAV,Employees/Designated Employees,Equity Shares,3745,0.0,,1000,501960,Sell,Equity Shares,2745,0.0,19-Aug-2020,19-Aug-2020,01-Sep-2020,Market Sale,-,-,0,0,0,0,NSE,-,02-Sep-2020 14:56,https://archives.nseindia.com/corporate/xbrl/IT_1078095_312944_02092020025616_WEB.xml
7437,DABUR,Dabur India Limited,7(2),ADARSH SHARMA,Employees/Designated Employees,Equity Shares,199025,0.01,,3003,1476274,Buy,Equity Shares,202028,0.01,28-Aug-2020,28-Aug-2020,31-Aug-2020,Market Purchase,-,-,0,0,0,0,NSE,-,02-Sep-2020 14:56,https://archives.nseindia.com/corporate/xbrl/IT_1078095_312944_02092020025616_WEB.xml
7438,DABUR,Dabur India Limited,7(2),PANKAJ YADAV,Employees/Designated Employees,Equity Shares,4745,0.0,,1000,499750,Sell,Equity Shares,3745,0.0,13-Aug-2020,13-Aug-2020,01-Sep-2020,Market Sale,-,-,0,0,0,0,NSE,-,02-Sep-2020 14:56,https://archives.nseindia.com/corporate/xbrl/IT_1078095_312944_02092020025616_WEB.xml
7439,DABUR,Dabur India Limited,7(2),PANKAJ YADAV,Employees/Designated Employees,Equity Shares,4145,0.0,,600,292590,Buy,Equity Shares,4745,0.0,17-Aug-2020,17-Aug-2020,01-Sep-2020,Off Market,-,-,0,0,0,0,,-,02-Sep-2020 14:56,https://archives.nseindia.com/corporate/xbrl/IT_1078095_312944_02092020025616_WEB.xml
7440,MINDTREE,MindTree Limited,7(2),Krishnakumar N,Promoters,Equity Shares,5060504,3.07,,10000,12050292,Sell,Equity Shares,5050504,3.07,31-Aug-2020,31-Aug-2020,01-Sep-2020,Market Sale,-,-,0,0,0,0,NSE,-,02-Sep-2020 14:32,https://archives.nseindia.com/corporate/xbrl/IT_1078092_312941_02092020023211_WEB.xml
7441,SUVENPHAR,Suven Pharmaceuticals Limited,7(2),PADMAJA J.A.S,Immediate relative,Equity Shares,12500,0.01,,5000,3203198,Buy,Equity Shares,17500,0.01,31-Aug-2020,31-Aug-2020,01-Sep-2020,Market Purchase,-,-,0,0,0,0,NSE,-,02-Sep-2020 14:28,https://archives.nseindia.com/corporate/xbrl/IT_1078091_312939_02092020022848_WEB.xml
7442,SUVEN,Suven Life Sciences Limited,7(2),VENKATA RAMUDU JASTHI,Immediate relative,Equity Shares,50000,0.04,,15000,739542,Buy,Equity Shares,65000,0.05,31-Aug-2020,31-Aug-2020,01-Sep-2020,Market Purchase,-,-,0,0,0,0,NSE,-,02-Sep-2020 14:09,https://archives.nseindia.com/corporate/xbrl/IT_1078089_312935_02092020020938_WEB.xml
7443,WORTH,Worth Peripherals Limited,7(2),Raminder Singh Chadha,Promoters,Equity Shares,4875000,30.95,,2087,87170,Buy,Equity Shares,4877087,30.96,01-Sep-2020,01-Sep-2020,02-Sep-2020,Market Purchase,-,-,0,0,0,0,NSE,-,02-Sep-2020 13:50,https://archives.nseindia.com/corporate/xbrl/IT_1078087_312932_02092020015026_WEB.xml
7444,TCNSBRANDS,TCNS Clothing Co. Limited,7(2),ARINDAM CHAKRAVORTY,Employees/Designated Employees,Equity Shares,87310,0.14,,5110,2170461,Sell,Equity Shares,82200,0.13,01-Sep-2020,01-Sep-2020,02-Sep-2020,Market Sale,-,-,0,0,0,0,NSE,-,02-Sep-2020 13:30,https://archives.nseindia.com/corporate/xbrl/IT_1078085_312929_02092020013028_WEB.xml
7445,ELECTCAST,Electrosteel Castings Limited,7(2),G.K.INVESTMENTS LTD.,Promoter Group,Equity Shares,22314560,5.15,,1000000,15426692,Buy,Equity Shares,23314560,5.38,31-Aug-2020,01-Sep-2020,01-Sep-2020,Market Purchase,-,-,0,0,0,0,NSE,-,02-Sep-2020 12:58,https://archives.nseindia.com/corporate/xbrl/IT_1078083_312920_02092020125808_WEB.xml
7446,VSSL,Vardhman Special Steels Limited,7(2),SACHIT JAIN,Promoters,Equity Shares,4953839,12.26,,1000,71830,Buy,Equity Shares,4954839,12.27,31-Aug-2020,31-Aug-2020,01-Sep-2020,Market Purchase,-,-,0,0,0,0,"BSE,NSE",-,02-Sep-2020 12:48,https://archives.nseindia.com/corporate/xbrl/IT_1078081_312917_02092020124804_WEB.xml
7447,SHRIPISTON,Shriram Pistons & Rings Limited,7(2),Meenakshi Dass,Promoters,Equity Shares,1140637,5.1,,3,1800,Sell,Equity Shares,1140634,5.1,31-Aug-2020,31-Aug-2020,01-Sep-2020,Market Sale,-,-,0,0,0,0,NSE,-,02-Sep-2020 12:35,https://archives.nseindia.com/corporate/xbrl/IT_1078079_312911_02092020123530_WEB.xml
7448,JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ? ESOP Plan 2016 A/c,Other,Equity Shares,14000081,0.58,,24867,7029531,Sell,Equity Shares,13975214,0.58,01-Sep-2020,01-Sep-2020,02-Sep-2020,Market Sale,-,-,0,0,0,0,NSE,-,02-Sep-2020 12:21,https://archives.nseindia.com/corporate/xbrl/IT_1078077_312902_02092020122135_WEB.xml
7449,JSWSTEEL,JSW Steel Limited,7(2),JSW Techno Projects Management Limited,Promoter Group,Equity Shares,264454220,10.94,,810000,234333000,Pledge Revoke,Equity Shares,264454220,10.94,28-Aug-2020,28-Aug-2020,31-Aug-2020,Revokation of Pledge,-,-,0,0,0,0,,-,02-Sep-2020 12:21,https://archives.nseindia.com/corporate/xbrl/IT_1078077_312902_02092020122135_WEB.xml
